unix,low,high,open,close,volume,date,vol_fiat
1638748800,0.1595,0.1812,0.172,0.1786,491055477.4,2021-12-06,87702508.26364
1638835200,0.1748,0.185,0.1786,0.1764,302381020.4,2021-12-07,53340011.99856
1638921600,0.1724,0.1823,0.1764,0.1794,344901886.9,2021-12-08,61875398.509859994
1639008000,0.1687,0.1828,0.1795,0.1692,302315331.1,2021-12-09,51151754.02212
1639094400,0.1636,0.1748,0.1691,0.1642,219146527.0,2021-12-10,35983859.7334
1639180800,0.1613,0.1702,0.1642,0.169,227870140.7,2021-12-11,38510053.7783
1639267200,0.1656,0.1739,0.1691,0.1698,147106998.5,2021-12-12,24978768.3453
1639353600,0.1514,0.1705,0.1698,0.1574,331781585.7,2021-12-13,52222421.58918
1639440000,0.1549,0.228,0.1574,0.1911,1497188424.6,2021-12-14,286112707.94105995
1639526400,0.1704,0.1915,0.1912,0.1811,548644237.1,2021-12-15,99359471.33881001
1639612800,0.1723,0.1857,0.181,0.1732,292892902.2,2021-12-16,50729050.66103999
1639699200,0.1616,0.1766,0.1733,0.1685,254967735.2,2021-12-17,42962063.3812
1639785600,0.166,0.1759,0.1686,0.1724,128702908.1,2021-12-18,22188381.35644
1639872000,0.1691,0.1748,0.1725,0.1694,124718842.2,2021-12-19,21127371.86868
1639958400,0.1611,0.1708,0.1694,0.1673,212557512.1,2021-12-20,35560871.77433
1640044800,0.1658,0.1725,0.1673,0.171,146680006.2,2021-12-21,25082281.0602
1640131200,0.1697,0.1801,0.171,0.173,211686085.9,2021-12-22,36621692.8607
1640217600,0.1712,0.1851,0.173,0.1851,270744966.7,2021-12-23,50114893.336169995
1640304000,0.1793,0.1957,0.1852,0.1862,324274007.1,2021-12-24,60379820.122020006
1640390400,0.1849,0.1958,0.1864,0.1911,206824198.4,2021-12-25,39524104.31424
1640476800,0.1851,0.1925,0.1909,0.1899,139166659.2,2021-12-26,26427748.58208
1640563200,0.1867,0.1929,0.19,0.1879,160009873.4,2021-12-27,30065855.211860005
1640649600,0.1717,0.1881,0.1881,0.1739,245903644.8,2021-12-28,42762643.83072
1640736000,0.1662,0.1775,0.1738,0.1681,191903133.6,2021-12-29,32258916.75816
1640822400,0.1652,0.1758,0.1679,0.1711,152880299.2,2021-12-30,26157819.19312
1640908800,0.1661,0.176,0.1712,0.1703,213978352.3,2021-12-31,36440513.39669
1640995200,0.1696,0.1738,0.1703,0.1733,97356981.0,2022-01-01,16871964.8073
1641081600,0.1705,0.1764,0.1732,0.1744,92952357.5,2022-01-02,16210891.148
1641168000,0.1675,0.1745,0.1745,0.1703,177907851.1,2022-01-03,30297707.04233
1641254400,0.1666,0.1726,0.1704,0.1684,150683562.7,2022-01-04,25375111.958679996
1641340800,0.1475,0.1711,0.1684,0.1591,288143435.0,2022-01-05,45843620.508499995
1641427200,0.1539,0.1621,0.1591,0.16,207158119.0,2022-01-06,33145299.04
1641513600,0.1491,0.1603,0.1598,0.1551,311955848.9,2022-01-07,48384352.16438999
1641600000,0.1452,0.1579,0.1552,0.151,212254602.9,2022-01-08,32050445.0379
1641686400,0.1486,0.1539,0.151,0.1505,120847997.9,2022-01-09,18187623.68395
1641772800,0.1368,0.1522,0.1506,0.1432,248060015.0,2022-01-10,35522194.148
1641859200,0.1417,0.1673,0.1431,0.1539,396093197.8,2022-01-11,60958743.14142001
1641945600,0.1513,0.1638,0.1539,0.163,278602838.1,2022-01-12,45412262.610300004
1642032000,0.1613,0.1771,0.1628,0.1717,709625286.5,2022-01-13,121842661.69205
1642118400,0.1704,0.2151,0.1716,0.1834,1659571748.2,2022-01-14,304365458.61988
1642204800,0.1817,0.1948,0.1833,0.1846,501326288.1,2022-01-15,92544832.78326
1642291200,0.1734,0.1848,0.1845,0.1767,352572368.7,2022-01-16,62299537.549289994
1642377600,0.1657,0.1784,0.1767,0.171,360802521.3,2022-01-17,61697231.14230001
1642464000,0.1617,0.1743,0.171,0.165,356535365.7,2022-01-18,58828335.3405
1642550400,0.1591,0.1696,0.1652,0.1616,317804258.4,2022-01-19,51357168.15743999
1642636800,0.1539,0.1694,0.1616,0.1554,285133114.4,2022-01-20,44309685.97776
1642723200,0.14,0.1578,0.1554,0.1422,532013453.8,2022-01-21,75652313.13035999
1642809600,0.1201,0.1454,0.1422,0.1333,854329257.1,2022-01-22,113882089.97143
1642896000,0.132,0.1448,0.1333,0.1418,512220774.3,2022-01-23,72632905.79574001
1642982400,0.1258,0.1419,0.1419,0.1374,684730733.7,2022-01-24,94082002.81038
1643068800,0.1325,0.1543,0.1374,0.143,518555728.8,2022-01-25,74153469.2184
1643155200,0.1409,0.1536,0.1429,0.1432,487976842.5,2022-01-26,69878283.846
1643241600,0.1361,0.1461,0.1433,0.1415,275646573.3,2022-01-27,39003990.12195
1643328000,0.1378,0.1428,0.1415,0.1415,189960319.8,2022-01-28,26879385.2517
1643414400,0.1403,0.1444,0.1416,0.143,154142384.7,2022-01-29,22042361.012099996
1643500800,0.1382,0.1438,0.1431,0.1392,151267742.8,2022-01-30,21056469.79776
1643587200,0.1363,0.1425,0.1393,0.1417,208438510.4,2022-01-31,29535736.92368
1643673600,0.1408,0.1444,0.1416,0.1425,225818151.9,2022-02-01,32179086.645749997
1643760000,0.1356,0.1465,0.1425,0.1371,208422755.5,2022-02-02,28574759.77905
1643846400,0.1347,0.139,0.1372,0.1381,149124896.1,2022-02-03,20594148.15141
1643932800,0.137,0.1482,0.1381,0.148,232451724.0,2022-02-04,34402855.151999995
1644019200,0.1447,0.1508,0.1479,0.147,198621246.5,2022-02-05,29197323.235499997
1644105600,0.1447,0.1559,0.147,0.1541,241793182.4,2022-02-06,37260329.40784
1644192000,0.1515,0.1735,0.1541,0.1654,763252360.8,2022-02-07,126241940.47631998
1644278400,0.153,0.1701,0.1654,0.1584,377263980.1,2022-02-08,59758614.447840005
1644364800,0.1543,0.1625,0.1583,0.1595,365274230.2,2022-02-09,58261239.7169
1644451200,0.1502,0.161,0.1594,0.1516,311715881.4,2022-02-10,47256127.62024
1644537600,0.1422,0.1544,0.1516,0.1448,243450171.2,2022-02-11,35251584.78976
1644624000,0.1406,0.1476,0.1447,0.1445,173248724.2,2022-02-12,25034440.6469
1644710400,0.1437,0.158,0.1444,0.1482,513734755.9,2022-02-13,76135490.82438
1644796800,0.1429,0.1508,0.1482,0.1458,271092333.1,2022-02-14,39525262.165980004
1644883200,0.1448,0.1525,0.1458,0.1518,170434449.9,2022-02-15,25871949.49482
1644969600,0.1463,0.1518,0.1518,0.1488,130904593.8,2022-02-16,19478603.557439998
1645056000,0.1369,0.1501,0.1488,0.1384,240469420.9,2022-02-17,33280967.85256
1645142400,0.1361,0.1423,0.1384,0.1386,171799482.3,2022-02-18,23811408.24678
1645228800,0.1384,0.1465,0.1386,0.141,178676075.3,2022-02-19,25193326.6173
1645315200,0.135,0.1412,0.141,0.1368,158913958.5,2022-02-20,21739429.522800002
1645401600,0.1271,0.1419,0.1366,0.1282,307909900.4,2022-02-21,39474049.23128
1645488000,0.1239,0.1319,0.1283,0.1314,221035225.0,2022-02-22,29044028.564999998
