Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2021-05-19T22:52:41Z,Buy,BTC,0.00514787,USD,39532.54,203.51,211.64,8.13,Bought 0.00514787 BTC for $211.64 USD
2021-05-28T09:53:25Z,Buy,BTC,0.00563715,USD,36291.76,204.58,212.75,8.17,Bought 0.00563715 BTC for $212.75 USD
2021-07-01T13:09:47Z,Buy,BTC,0.0039304,USD,33809.82,132.89,138.19,5.3,Bought 0.0039304 BTC for $138.19 USD
2021-08-02T08:58:51Z,Buy,BTC,0.00336813,USD,39744.65,133.87,139.21,5.34,Bought 0.00336813 BTC for $139.21 USD
2021-08-10T23:01:45Z,Buy,BTC,0.00291082,USD,45712.86,133.06,138.38,5.32,Bought 0.00291082 BTC for $138.38 USD
2021-08-26T12:27:50Z,Buy,BTC,0.00416938,USD,47495.13,198.03,205.93,7.9,Bought 0.00416938 BTC for $205.93 USD
2021-09-03T21:57:18Z,Receive,BTC,0.0023744,USD,50231.32,,,,Received 0.0023744 BTC from an external account
2021-09-04T01:09:20Z,Buy,BTC,0.00132727,USD,50152.43,66.57,69.32,2.75,Bought 0.00132727 BTC for $69.32 USD
2021-09-04T01:58:27Z,Convert,BTC,0.001004,USD,49780.88,48.95,49.98,1.03,Converted 0.001004 BTC to 165.67656765 DOGE
2021-09-07T15:17:57Z,Convert,BTC,0.001088,USD,45937.5,49.37,49.98,0.61,Converted 0.001088 BTC to 0.01485217 ETH
2021-09-07T15:18:28Z,Convert,BTC,0.000539,USD,46419.29,18.38,25.02,0.15,Converted 0.000539 BTC to 98.82654932 DOGE
2021-09-07T16:27:59Z,Convert,BTC,0.000531,USD,47118.64,17.73,25.02,1.03,Converted 0.000531 BTC to 95.58955896 DOGE
2021-10-01T11:36:19Z,Buy,BTC,0.00273549,USD,47598.21,130.2,135.4,5.2,Bought 0.00273549 BTC for $135.40 USD
2021-10-01T18:50:30Z,Buy,BTC,0.00271532,USD,48007.94,130.36,135.56,5.2,Bought 0.00271532 BTC for $135.56 USD
2021-10-08T14:05:34Z,Buy,BTC,0.00239747,USD,54704.49,131.15,136.39,5.24,Bought 0.00239747 BTC for $136.39 USD
